category,clue,exp,is_anagram,is_homophone,is_double,is_cryptic,is_contain,is_reverse,is_alternate,is_init,is_delete,is_charade,is_&lit,is_hidden,is_spoonerism,is_palindrome
is_anagram,Warwick was keg man rolling in dry white wine and cassis ,"  *(KEG MAN) in KIR. 17 TAE KWON DO A little reading up of Hood, now Keats, a show of open-handedness and high kicks? (3,4,2)  A brilliant reverse (“reading up”) hidden clue concealed in “Hood now Keats”. ",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
is_anagram,Rewritten article is sensible , REALISTIC (article is)* ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,Try tossing Dan the sperm-producer ,"  GO (try) (DAN)* or < A/RevInd: tossing Def: Sperm producer I came unstuck by writing in GLAND first, a bit prematurely, like. ",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,Kinky game might be excellent , (game)* = MEGA ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,Start of youth and pals are playing – scram ," *(y pals are), where the Y is the “start of youth”) = PARALYSE (entered at 20dn) ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,No turning zone: somehow get round river , Rev nay (no) + z (zone) in (get)* = YANGTZE ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
is_anagram,Leave dead trees all over the place ," DESERT A charade of D (‘dead’) plus ESERT, an anagram (‘allover the place’) of ‘trees’. Down ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
is_anagram,Father carries folding seat , FR (father) contains (carries) anagram (folding) of SEAT ,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,"across for 7 in mug, all across-ed "," (MUG IN ALL)* anagram=stewed – an American (for Sinatra) stew from the depression era. Mulligan Stew features in the lyrics of The Lady is a Tramp, but I don’t think Sinatra ever sang that verse. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,"Player, a giant with red dicky ",(A GIANT RED)* ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,Wild tiger seen? Not here ,"  (TIGER SEEN)* &lit, because tigers don’t live in Africa. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
is_anagram," In rain dance, am I performing? ", AMERICAN INDIAN A cryptic definition and an anagram of IN RAIN DANCE I AM (anagrind is ‘performing’). What a great anagram. ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_anagram,Petty cash running short unfortunately? Always in the same position ," (Petty cas{h})* — position? I expected that in Collins I’d find something about other senses, but it’s all about actors being cast in the same part and I can’t see anything in Chambers, although perhaps I didn’t look hard enough ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
